image_id,file_name,garments,colors,styles,scene,objects,relation,weather,location,color_garment_pairs,query_tags,caption,gender
synth_0001,synth_0001.jpg,raincoat,yellow,formal,,office printer,using,clear indoor lighting,business district in Tokyo,yellow:raincoat,dress shirt;tie;white;red;executive office;office printer;using;clear indoor lighting;business district in Tokyo;formal,"An elderly man wearing a white dress shirt with a red tie, using a office printer in a executive office located in business district in Tokyo, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",male
synth_0002,synth_0002.jpg,suit;shirt,,formal,office,office desk,working at,clear indoor lighting,shopping district in New York,,dress shirt;tie;white;red;reception area;office desk;working at;clear indoor lighting;shopping district in New York;formal,"A teenager wearing a white dress shirt with a red tie, working at a office desk in a reception area located in shopping district in New York, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",
synth_0003,synth_0003.jpg,shirt,blue,formal,park;bench,gate seating,waiting at,clear indoor lighting,urban park in Tokyo,blue:shirt,dress shirt;tie;white;red;executive office;gate seating;waiting at;clear indoor lighting;urban park in Tokyo;formal,"A young woman wearing a white dress shirt with a red tie, waiting at a gate seating in a executive office located in urban park in Tokyo, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",female
synth_0004,synth_0004.jpg,jeans;t-shirt,,formal,city,ergonomic office chair,sitting on,clear indoor lighting,shopping district in London,,dress shirt;tie;red;white;glass-walled meeting room;ergonomic office chair;sitting on;clear indoor lighting;shopping district in London;formal,"A young man wearing a red dress shirt with a white tie, sitting on a ergonomic office chair in a glass-walled meeting room located in shopping district in London, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",male
synth_0005,synth_0005.jpg,tie;shirt,red;white,formal,formal,desktop monitor,working at,clear indoor lighting,residential street in Tokyo,red:tie;white:shirt,blazer;scarf;white;red;conference hall;desktop monitor;working at;clear indoor lighting;residential street in Tokyo;formal,"A young woman wearing a white blazer with a red scarf, working at a desktop monitor in a conference hall located in residential street in Tokyo, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",female
synth_0006,synth_0006.jpg,dress shirt;tie,white;red,formal,quiet public library,cafe table,sitting at,clear indoor lighting,financial district in London,white:dress shirt;red:tie,dress shirt;tie;white;red;quiet public library;cafe table;sitting at;clear indoor lighting;financial district in London;formal,"A young man wearing a white dress shirt with a red tie, sitting at a cafe table in a quiet public library located in financial district in London, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",male
synth_0007,synth_0007.jpg,dress shirt;tie,white;red,formal,busy airport terminal,coffee cup,drinking from,clear indoor lighting,downtown in Tokyo,white:dress shirt;red:tie,dress shirt;tie;white;red;busy airport terminal;coffee cup;drinking from;clear indoor lighting;downtown in Tokyo;formal,"A fashion model wearing a white dress shirt with a red tie, drinking from a coffee cup in a busy airport terminal located in downtown in Tokyo, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",
synth_0008,synth_0008.jpg,dress shirt;tie,white;red,formal,quiet public library,garden chair,sitting on,clear indoor lighting,business district in Tokyo,white:dress shirt;red:tie,dress shirt;tie;white;red;quiet public library;garden chair;sitting on;clear indoor lighting;business district in Tokyo;formal,"A middle-aged woman wearing a white dress shirt with a red tie, sitting on a garden chair in a quiet public library located in business district in Tokyo, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",female
synth_0009,synth_0009.jpg,dress shirt;tie,white;red,formal,cafe,coffee cup,holding,clear indoor lighting,business district in New York,white:dress shirt;red:tie,dress shirt;tie;white;red;cafe;coffee cup;holding;clear indoor lighting;business district in New York;formal,"A person wearing a white dress shirt with a red tie, holding a coffee cup in a cafe located in business district in New York, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",
synth_0010,synth_0010.jpg,dress shirt;tie,white;red,formal,startup open workspace,office desk,standing near,clear indoor lighting,downtown in Tokyo,white:dress shirt;red:tie,dress shirt;tie;white;red;startup open workspace;office desk;standing near;clear indoor lighting;downtown in Tokyo;formal,"A teenager wearing a white dress shirt with a red tie, standing near a office desk in a startup open workspace located in downtown in Tokyo, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",
synth_0011,synth_0011.jpg,dress shirt;tie,red;white,formal,glass-walled meeting room,office printer,standing near,clear indoor lighting,campus in London,red:dress shirt;white:tie,dress shirt;tie;red;white;glass-walled meeting room;office printer;standing near;clear indoor lighting;campus in London;formal,"A person wearing a red dress shirt with a white tie, standing near a office printer in a glass-walled meeting room located in campus in London, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",
synth_0012,synth_0012.jpg,dress shirt;tie,white;red,formal,glass-walled meeting room,airport departure board,standing near,clear indoor lighting,financial district in London,white:dress shirt;red:tie,dress shirt;tie;white;red;glass-walled meeting room;airport departure board;standing near;clear indoor lighting;financial district in London;formal,"A person wearing a white dress shirt with a red tie, standing near a airport departure board in a glass-walled meeting room located in financial district in London, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",
synth_0013,synth_0013.jpg,dress shirt;tie,white;red,formal,startup open workspace,presentation screen,presenting near,clear indoor lighting,shopping district in New York,white:dress shirt;red:tie,dress shirt;tie;white;red;startup open workspace;presentation screen;presenting near;clear indoor lighting;shopping district in New York;formal,"A fashion model wearing a white dress shirt with a red tie, presenting near a presentation screen in a startup open workspace located in shopping district in New York, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",
synth_0014,synth_0014.jpg,dress shirt;tie,white;red,formal,quiet public library,cafe table,sitting at,clear indoor lighting,residential street in New York,white:dress shirt;red:tie,dress shirt;tie;white;red;quiet public library;cafe table;sitting at;clear indoor lighting;residential street in New York;formal,"An elderly man wearing a white dress shirt with a red tie, sitting at a cafe table in a quiet public library located in residential street in New York, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",male
synth_0015,synth_0015.jpg,dress shirt;tie,white;red,formal,corporate boardroom,airport departure board,standing near,clear indoor lighting,urban park in New York,white:dress shirt;red:tie,dress shirt;tie;white;red;corporate boardroom;airport departure board;standing near;clear indoor lighting;urban park in New York;formal,"An elderly man wearing a white dress shirt with a red tie, standing near a airport departure board in a corporate boardroom located in urban park in New York, clear indoor lighting, photorealistic, DSLR photography, highly detailed, fashion photography, 8k resolution",male
